NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MICROLENSING,IMAGING,TIMING,ASTROMETRY,MASS,DIST,R,MSTAR,FE,DATE,STARDISCMETH,RSTAR,TEFF
,mjupiter,au,day,,deg,jd,m/s,,,,,,,,,mjupiter,pc,rjupiter,msun,,,,rsun,k
Kepler-807 b,,0.476837,117.93108781,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.564429,1312,0.93,1.04,-0.04,2016,Transit,1.06,5965
HD 60532 c,2.46312,1.57999,604,0.02,151,2453732,46.4,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D,0,0,0,0,2.46312,25.2972,,1.44,-0.26,2008,RV,2.35065,6095
HIP 65407 c,0.786056,0.316151,67.3,0.12,-19,2457030,41.5,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,0,0,0,0,0.786056,59.7372,,0.93,0.25,2016,RV,,5460
Kepler-299 b,,0.0400468,2.927128,,90,2454966.82858,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00769114,,0.117763,,,2014,Transit,1.032,5617
Kepler-939 b,,0.11345,14.878296,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0129028,1029,0.156,0.88,-0.12,2016,Transit,0.85,5471
Kepler-1389 b,,0.391079,99.2530951,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0130579,521,0.158,0.81,-0.14,2016,Transit,0.74,5078
Kepler-140 c,,0.396968,91.353282,,90,2455022.60562,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0132614,,0.160585,,,2014,Transit,1.288,6077
Kepler-23 d,,0.12048,15.274299,,90,2454980.58253,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0165098,,0.196271,,,2014,Transit,1.548,5828
Kepler-1048 b,,0.0645763,6.92101021,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0120099,415,0.144,0.75,0.01,2016,Transit,0.7,4651
Kepler-89 c,,0.101317,10.423648,0.43,,,,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W,0,0,0,0,0.0295756,,0.3937,1.277,0.0228,2013,Transit,1.52,6182
WASP-95 b,1.2034,0.0341288,2.184673,0,90,2456338.45851,175.7,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,0,0,0,0,1.13,,1.21,1.11,0.14,2013,Transit,1.13,5830
Kepler-831 b,,0.0616673,5.62153941,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00668223,577,0.113,0.99,0.02,2016,Transit,0.97,5732
