NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MICROLENSING,IMAGING,TIMING,ASTROMETRY,MASS,DIST,R,MSTAR,FE,DATE,STARDISCMETH,RSTAR,TEFF
,mjupiter,au,day,,deg,jd,m/s,,,,,,,,,mjupiter,pc,rjupiter,msun,,,,rsun,k
Kepler-1594 b,,0.0388448,2.71603809,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00364938,1100,0.095,1.06,0.03,2016,Transit,1.08,5946
Kepler-642 b,,0.0589428,4.41745855,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0252452,1022,0.259,1.4,0.06,2016,Transit,1.66,6570
Kepler-359 d,,0.354508,77.095691,,90,2455035.67392,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0520795,,0.357748,,,2014,Transit,1.086,6248
WASP-142 b,0.82467,0.034771,2.052868,0,90,2457007.7779,109,Hellier 2017,http://adsabs.harvard.edu/abs/2017MNRAS.465.3693H,Hellier 2017,http://adsabs.harvard.edu/abs/2017MNRAS.465.3693H,0,0,0,0,0.836882,840,1.56195,1.33,0.26,2017,Transit,1.64,6060
Kepler-115 b,,0.0351175,2.403679,,90,2454967.72847,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00396389,,0.0972433,,,2014,Transit,1.205,5979
OGLE-05-071L b,,3.54863,3600,,,,,Dong 2009,http://adsabs.harvard.edu/abs/2009ApJ...695..970D,Udalski 2005,http://adsabs.harvard.edu/abs/2005ApJ...628L.109U,1,0,0,0,3.8,3200,,0.46,,2005,Microlensing,,
OGLE235-MOA53 b,,,,,,,,Bennett 2006,http://adsabs.harvard.edu/abs/2006ApJ...647L.171B,Bond 2004,http://adsabs.harvard.edu/abs/2004ApJ...606L.155B,1,0,0,0,2.6,5200,,0.63,,2004,Microlensing,,
HD 37124 c,0.648109,1.70993,885.5,0.125,53,2449534,15.4,Wright 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...93W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,0,0,0,0,0.648109,33.67,,0.85,-0.441617,2003,RV,0.772275,5500.24
HD 217107 c,2.61546,5.33414,4270,0.517222,198.598,2451106.321,35.7,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,0,0,0,0,2.61546,19.857,,1.108,0.389294,2005,RV,1.5,5704.36
Kepler-1323 b,,0.0197027,0.92990668,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0124263,530,0.136,1.18,0.02,2016,Transit,1.4,6169
